mapindex regionname
1 'Frontal-to-Temporal-I (GapMap) left'
176 'Area Ia2 (Insula) right'
177 'Area Ia1 (Insula) left'
178 'Area Ia1 (Insula) right'
179 'Area Ia3 (Insula) left'
180 'Area Ia3 (Insula) right'
181 'Area Id2 (Insula) left'
182 'Area Id2 (Insula) right'
183 'Area Id8 (Insula) left'
184 'Area Id8 (Insula) right'
185 'Area Id1 (Insula) left'
186 'Area Id1 (Insula) right'
187 'Area Id9 (Insula) left'
188 'Area Id9 (Insula) right'
189 'Area Id7 (Insula) left'
190 'Area Id7 (Insula) right'
191 'Area Id5 (Insula) left'
192 'Area Id5 (Insula) right'
193 'Area Id6 (Insula) left'
194 'Area Id6 (Insula) right'
195 'Area Id10 (Insula) left'
196 'Area Id10 (Insula) right'
197 'Area Id4 (Insula) left'
198 'Area Id4 (Insula) right'
199 'Area Id3 (Insula) left'
200 'Area Id3 (Insula) right'
201 'Area STS2 (STS) left'
202 'Area STS2 (STS) right'
203 'Area STS1 (STS) left'
204 'Area STS1 (STS) right'
205 'Area TE 3 (STG) left'
206 'Area TE 3 (STG) right'
207 'Area TE 2.2 (STG) left'
208 'Area TE 2.2 (STG) right'
209 'Area TE 2.1 (STG) left'
210 'Area TE 2.1 (STG) right'
211 'Area TI (STG) left'
212 'Area TI (STG) right'
213 'Area TeI (STG) left'
214 'Area TeI (STG) right'
215 'Area TE 1.2 (HESCHL) left'
216 'Area TE 1.2 (HESCHL) right'
217 'Area TE 1.1 (HESCHL) left'
218 'Area TE 1.1 (HESCHL) right'
219 'Area TE 1.0 (HESCHL) left'
220 'Area TE 1.0 (HESCHL) right'
221 'Area Ph3 (PhG) left'
222 'Area Ph3 (PhG) right'
223 'Area Ph1 (PhG) left'
224 'Area Ph1 (PhG) right'
225 'Area Ph2 (PhG) left'
226 'Area Ph2 (PhG) right'
227 'Area FG2 (FusG) left'
228 'Area FG2 (FusG) right'
229 'Area FG3 (FusG) left'
230 'Area FG3 (FusG) right'
231 'Area FG1 (FusG) left'
232 'Area FG1 (FusG) right'
233 'Area FG4 (FusG) left'
234 'Area FG4 (FusG) right'
235 'Area CoS1 (CoS) left'
236 'Area CoS1 (CoS) right'
237 'Area TPJ (STG/SMG) left'
238 'Area TPJ (STG/SMG) right'
239 'Frontal-to-Occipital (GapMap) left'
240 'Frontal-to-Occipital (GapMap) right'
241 'Temporal-to-Parietal (GapMap) left'
242 'Temporal-to-Parietal (GapMap) right'
243 'Frontal-I (GapMap) left'
244 'Frontal-I (GapMap) right'
245 'Frontal-to-Temporal-II (GapMap) left'
246 'Frontal-to-Temporal-II (GapMap) right'
247 'Frontal-II (GapMap) left'
248 'Frontal-II (GapMap) right'
249 'Area p24c (pACC) left'
250 'Area p24c (pACC) right'
251 'Area 25 (sACC) left'
252 'Area 25 (sACC) right'
253 'Area p24ab (pACC) left'
254 'Area p24ab (pACC) right'
255 'Area s32 (sACC) left'
256 'Area s32 (sACC) right'
257 'Area 33 (ACC) left'
258 'Area 33 (ACC) right'
259 'Area p32 (pACC) left'
260 'Area p32 (pACC) right'
261 'Area s24 (sACC) left'
262 'Area s24 (sACC) right'
263 'HC-Presubiculum (Hippocampus) left'
264 'HC-Presubiculum (Hippocampus) right'
265 'HATA (Hippocampus) left'
266 'HATA (Hippocampus) right'
267 'Entorhinal Cortex left'
268 'Entorhinal Cortex right'
269 'CA3 (Hippocampus) left'
270 'CA3 (Hippocampus) right'
271 'HC-Transsubiculum (Hippocampus) left'
272 'HC-Transsubiculum (Hippocampus) right'
273 'HC-Subiculum (Hippocampus) left'
274 'HC-Subiculum (Hippocampus) right'
275 'HC-Prosubiculum (Hippocampus) left'
276 'HC-Prosubiculum (Hippocampus) right'
277 'HC-Parasubiculum (Hippocampus) left'
278 'HC-Parasubiculum (Hippocampus) right'
279 'DG (Hippocampus) left'
280 'DG (Hippocampus) right'
281 'CA2 (Hippocampus) left'
282 'CA2 (Hippocampus) right'
283 'CA1 (Hippocampus) left'
284 'CA1 (Hippocampus) right'
285 'Interposed Nucleus (Cerebellum) left'
286 'Interposed Nucleus (Cerebellum) right'
287 'Dorsal Dentate Nucleus (Cerebellum) left'
288 'Dorsal Dentate Nucleus (Cerebellum) right'
289 'Ventral Dentate Nucleus (Cerebellum) left'
290 'Ventral Dentate Nucleus (Cerebellum) right'
291 'Fastigial Nucleus (Cerebellum) left'
292 'Fastigial Nucleus (Cerebellum) right'
293 'CGM (Metathalamus) left'
294 'CGM (Metathalamus) right'
295 'CGL (Metathalamus) left'
296 'CGL (Metathalamus) right'
